Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier Part Number 1,Supplier 1

"value","CAP CER 0.1UF 50V X7R 0805, CAP CER 22UF 10V X6S 0805, CAP 0805, SMD Multilayer Ceramic Capacitor, AEC-Q200 C Series, 0.1 F, 10%, X7R, 25 V, 0805 [2012 Metric] ;RoHS Compliant: Yes","C1, C2, C4, C8, C9, C10","CAP 0805 L","CAP 0805","6","1276-7000-1-ND, 490-12342-1-ND, 311-3170-1-ND, 399-6927-1-ND","Digi-Key"
"value","TDK - C3225X7R1H106M250AC - C3225X7R1H106MT000E, KEMET - C1210C476M4PACTU. - CAPACITOR CERAMIC 47UF, 16V, X5R, 1210","C3, C6, C7","1210","CAP 0805","3","445-14933-1-ND, 399-5514-1-ND","Digi-Key"
"value","MURATA - GRT31CR61H106KE01L - SMD Multilayer Ceramic Capacitor, 10 µF, 50 V, 1206 [3216 Metric], ± 10%, X5R, GRT Series","C5","1206_CAP","CAP 0805","1","490-12456-1-ND","Digi-Key"
"0.1µF","CAP CER 0.1UF 50V X7R 0603","C11, C14, C15","CAP 0603_1608","C0603C104K5RACAUTO","3","399-6856-1-ND","DigiKey"
"10µF","CAP TANT 10UF 10% 16V 1411","C12, C13","CAP POL 1411_3528","T491B106K016ATAUTO","2","399-18036-1-ND","DigiKey"
"18pF","CAP CER 18PF 50V C0G/NP0 0603","C16, C17","CAP 0603_1608","C0603C180J5GACAUTO","2","399-16019-1-ND","DigiKey"
"4.7uF","Cap Ceramic 4.7uF 16V X7R 10% Pad SMD 0805 125C Automotive T/R","C18, C19","CAP 0805 L","CAP 0805","2","399-15711-1-ND","Digi-Key"
"0.1uF","Cap Ceramic 0.01uF 100V X7R 10% SMD 0805 125C Paper T/R","C20, C21","CAP 0805 L","CAP 0805","2","399-6922-1-ND","Digi-Key"
"1000pF","CAP CER 1000PF 2KV X7R 1206","C22","CAP 1206_3216 - 1.8MM","C1206C102KGRACAUTO","1","399-12976-1-ND","DigiKey"
"D Schottky","Schottky Diode","D1","DO-221BC","D Schottky","1","V8PAL50-M3/ICT-ND","Digi-Key"
"S1M-13-F","Default Diode","D2, D5_Box Actuator A, D5_Box Actuator B, D5_Light A, D5_Light B","SMA","Diode","5","",""
"0154005.DRT","FUSE BRD MNT 5A 125VAC/VDC 2SMD","F1","Littelfuse_0154_0","0154005.DRT","1","F1310CT-ND","Digi-Key"
"0154001.DRT","LITTELFUSE - 0154001.DRT - FUSE, SMD, 1A, OMNI BLOCK, TIME DELAY","F2, F3","Littelfuse_0154_0","0154005.DRT","2","F1303TR-ND","Digi-Key"
"MOLEX_43650_2","MOLEX - 43650-0227 - Wire-To-Board Connector, 3 mm, 2 Contacts, Header, Micro-Fit 3.0 43650 Series, Through Hole, 1 Rows","H1, H5, LGT_B_Box Actuator A, LGT_B_Box Actuator B, LGT_B_Light A, LGT_B_Light B","MOLEX_43650_2","MOLEX_43650_2","6","WM10656-ND","Digi-Key"
"POS","Stepper position potentiometer","H2","MOLEX_43650_3","TERM_3P","1","",""
"43045_8P","","H4","MOLEX_43045_2X4","TERM_2x4P","1","",""
"Inductor Iron","FIXED IND 4.7UH 6.5A 30.8 MOHM","L1","SRP7050TA","Inductor Iron","1","SRP7050TA-4R7MCT-ND","Digi-Key"
"BLM18KG102SZ1D","Ferrite Beads Multi-Layer Power 1KOhm 25% 100MHz 1A 200mOhm DCR 0603 Automotive T/R","L2, L3","IND-0603","IND-0603","2","490-17350-1-ND","Digi-Key"
"MOSFET-N","MOSFET 12V N-Ch Enh FET 2426pF 27.3nC, Trans MOSFET N-CH 60V 2A Automotive 3-Pin SOT-23 T/R","Q1, Q4_Box Actuator A, Q4_Box Actuator B, Q4_Light A, Q4_Light B","SOT23-3","MOSFET-N","5","DMN1019USN-7DICT-ND, SQ2364EES-T1_GE3CT-ND","Digi-Key"
"Res1","Res Thick Film 0603 91K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R, RES SMD 25.5K OHM 1% 1/10W 0603, Res Thick Film 0603 13K Ohm 1% 1/10W 100ppm/C Molded SMD SMD Paper T/R","R1, R2, R3","RES 0603 L","Res1","3","541-91.0KHCT-ND, 541-25.5KHCT-ND, 541-CRCW060313K0FKTACT-ND","Digi-Key"
"value","CRGCQ 0603 100R 5%, TE CONNECTIVITY - CRGCQ0603J10K - RES, 10K, 5%, 0603, THICK FILM, CRGCQ 0603 100K 5%","R4, R5, R7, R11_Box Actuator A, R11_Box Actuator B, R11_Light A, R11_Light B, R14_Box Actuator A, R14_Box Actuator B, R14_Light A, R14_Light B","RES 0603 L","RES 0603","11","A130085CT-ND, A130097CT-ND, A130103CT-ND","Digi-Key"
"10mR","Resistor Thick Film 0.01Ohm 0.5% 0.5W 2-Pin 0805 T/R","R6","CAP 0805 L","RES 0603","1","P124401CT-ND","Digi-Key"
"4.7K","SMD Resistor, Thick film 4.7 kOhm,  ±  1 %, 0603, CRCW06034K70FKEA, Vishay","R8, R9","RES 0603 L","RES 0603","2","541-4.70KHCT-ND","Digi-Key"
"1M","Thick Film Chip Resistor","R10","RES 0603 L","RES 0603","1","541-1.00MHCT-ND","Digi-Key"
"12.4K","Res Thick Film 0603 12.4K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R","R12","RES 0603 L","RES 0603","1","541-12.4KHTR-ND","Digi-Key"
"75","VISHAY - CRCW060375R0FKEA - RES, 75R, 1%, 0.1W, 0603, THICK FILM","R13, R15","RES 0603 L","RES 0603","2","541-75.0HCT-ND","Digi-Key"
"NUCLEO-L432KC","STM32L432KC, mbed-Enabled Development Nucleo-32 STM32L4 ARMÂ® CortexÂ®-M4 MCU 32-Bit Embedded Evaluation Board","U","MODULE_NUCLEO-L432KC","NUCLEO-L432KC","1","",""
"LM61CIM3/NOPB","2.7V Temperature Sensor, 3-pin SOT-23, Pb-Free","U1","DBZ0003A_L","CMP-0066-00260-3","1","",""
"LMR14050","","U2","HSOIC-8","LMR14050","1","",""
"DC-DC_3v3","","U3","V78E-1000-SMT","DC-DC_3v3","1","",""
"INA186","","U4","SOT23-5","INA186","1","",""
"W5500","WIZnet W5500","U5","WIZNET W5500","W5500","1","",""
"H1102NL","","U6","H1102NL","H1102NL","1","",""
"25MHz","CRYSTAL 25.0000MHZ 18PF SMD","Y1","OSC-82J0626","OSC-82J0626-25MHz","1","SER3691CT-ND","Digi-Key"
