Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier Part Number 1

"100nF","CAP 0805","C1, C2, C3, C4, C8, C9, C10, C11, C12, C16, C17, C18, C19, C20, C21, C22, C24, C25, C28, C29","CAP 0805 L","CAP 0805","20",""
"4u7F","CAP 0805","C5","CAP 0805 L","CAP 0805","1",""
"2u2F","CAP 0805","C6, C15","CAP 0805 L","CAP 0805","2",""
"1uF","CAP 0805","C7, C27","CAP 0805 L","CAP 0805","2",""
"2uF","CAP 0805","C13","CAP 0805 L","CAP 0805","1",""
"10nF","CAP 0805","C14","CAP 0805 L","CAP 0805","1",""
"10uF","CAP 0805","C23","CAP 0805 L","CAP 0805","1",""
"470pF","CAP 0805","C26","CAP 0805 L","CAP 0805","1",""
"4u7","CAP 0805","C33","CAP 0805 L","CAP 0805","1",""
"100n","CAP 0805","C34","CAP 0805 L","CAP 0805","1",""
"TVS Steering","CM1293A-04SO","D1, D5","SC-74","DTVS 2Rail 4x","2","CM1293A-04SOOSCT-ND"
"RED","","D2","LED 0603 RED","LED 0603 RED","1",""
"GREEN","","D3","LED 0603 GREEN","LED 0603 GREEN","1",""
"BLUE","","D4","LED 0603 BLUE","LED 0603 BLUE","1",""
"SWD","CONN SWD IDC 0.05","J1","CONN IDC 10P P0.05","CONN SWD IDC 0.05","1","1175-1735-ND"
"CONN USB C 12p","USB - Type C Female 12 SMD USB Connectors RoHS","J2","CONN USB C 12P","CONN USB C 12p","1",""
"2x20 F","CONN Header 2x20 F","J3, J4","CONN HDR 2x20 F BOT","CONN Header 2x20 F","2","S9200-ND"
"22uH","IND 0805","L1, L2","IND 0805 L","IND 0805","2",""
"60V 360mA 0R9","PMN20ENAX","Q1, Q2, Q3","SOT23","FET 60V 360mA 0R9","3","1727-1142-1-ND"
"10K","RES 0603","R1, R2, R3, R4, R5, R12, R13, R15, R16, R19, R24, R26, R27","RES 0603 L","RES 0603","13",""
"49R9","RES 0603","R6, R7, R8, R9","RES 0603 L","RES 0603","4",""
"12k1","RES 0603","R10","RES 0603 L","RES 0603","1",""
"33","RES 0603","R11, R17, R18, R20","RES 0603 L","RES 0603","4",""
"1k5","RES 0603","R14","RES 0603 L","RES 0603","1",""
"330","RES 0603","R21, R22, R23","RES 0603 L","RES 0603","3",""
"1k","RES 0603","R28","RES 0603 L","RES 0603","1",""
"22.1k","RES 0603","R29","RES 0603 L","RES 0603","1",""
"47.5k","RES 0603","R30","RES 0603 L","RES 0603","1",""
"SW Flat 5mm Tactile","","SW1, SW2","SW 5MM TACTILE","SW Flat 5mm Tactile","2",""
"slide dpdt","JS202011JAQN","SW3, SW4","SW SIDE SLIDE DPDT","SW horz slide dpdt","2","CKN10722CT-ND"
"STM32H753ZIT6","STM32H753ZIT6","U3","LQFP144","STM32H753ZIT6","1",""
"CP2102N","CP2102N","U4","VQFN24","IC USB UART CP2102N","1","336-5888-1-ND"
"LAN8742A","LAN8742A-CZ-TR
LAN8742AI-CZ-TR","U5","VQFN24","IC ETH PHY RMII","1",""
"TCA4311A","TCA4311A","U6","SSOP-8","IC I2C HOTSWAP BUF","1","296-28328-1-ND"
"DSC6011CI2A-008.0000","DSC6011CI2A-008.0000","X1","XO 3.2x2.5","XO MEMS 8MHz","1",""
"32.768kHz","RSM200S-32.768-12.5-10PPM-NPB","X2","XTAL 8.0x3.8","XTAL 32.768kHz","1",""
