Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier Part Number 1

"35n4 25V","CAP 0805","C1_1, C1_2, C1_3, C1_4","CAP 0805 L","CAP 0805","4",""
"1u 15V","CAP 0805","C2_1, C2_2, C2_3, C2_4","CAP 0805 L","CAP 0805","4",""
"330u 35V","PANASONIC ELECTRONIC COMPONENTS         EEE1VA331P             SMD Aluminium Electrolytic Capacitor, Radial Can - SMD, 330 F, 35 V, S Series","C3_1, C3_2, C4_1, C4_2","CAP ALUM 10X10","CAP 330uF 35V","4","PCE3959CT-ND"
"10u","CAP 0805","C5, C6","CAP 0805 L","CAP 0805","2",""
"100V 200mA","BAS16GWJ","D1_1, D1_2, D1_3, D1_4","SODFL250X100-2M","DIODE 100V 200mA","4",""
"1000V 1A","S1MTR","D2_1, D2_2","DIOM4426X30M","DIODE 1000V 1A","2",""
"2x10 F","SFH11-PBPC-D10-ST-BK","J1, J2","CONN HDR 2x10 F BOT","CONN Header 2x10 F","2","S9197-ND"
"1x10 M","CONN header 1x10 M","J3","CONN HDR 1x10 M","CONN header 1x10 M","1",""
"40V 100A 4m4R","BUK7Y4R4-40EX","Q1_1, Q1_2, Q1_3, Q1_4, Q2_1, Q2_2, Q2_3, Q2_4","DPAK127P600X120-5M (LFPAK56; Power-SO8)","FET 40V 100A 4m4R","8",""
"40V 6A2 23m","PMN20ENAX","Q3_1, Q3_2","SOT457_FET","FET 40V 6A2 23mR","2",""
"3R96","0603 RES","R1_1, R1_2, R1_3, R1_4, R2_1, R2_2, R2_3, R2_4","RES 0603 L","RES 0603","8",""
"1R","0603 RES","R3_1, R3_2, R3_3, R3_4","RES 0603 L","RES 0603","4",""
"100","RES 0603","R4_1, R4_2","RES 0603 L","RES 0603","2",""
"IRS2007STRPBF","IRS2007STRPBF","U1_1, U1_2, U1_3, U1_4","SOIC-8","IC Half Bridge Driver","4",""
"74LVC2G14GW,125","74LVC2G14GW,125","U2_1, U2_2","SOT363","IC NOT 2CH","2",""
"SN74LVC2G08DCUR","SN74LVC2G08DCUR","U3_1, U3_2","VSSOP-8","IC AND2 2CH","2",""
"74LVC1G17GW,125","74LVC1G17GW,125","U4_1, U4_2","SOT753","IC BUF 1CH","2",""
"74LVC157A","74LVC157APW","U5_1, U5_2","TSSOP-16","IC MUX 4CH 2:1","2","1727-4028-1-ND"
"REG 12V","L78L12ABD-TR","U6","SOIC-8","IC REG 12V LINEAR","1","497-7767-1-ND"
